Policy Number,Quote Date,Quote Ref,Policy start date,Line of Business,Underwriter,Premium amount,Policy status,Last renewal date,Payment Method,Business source,Account number,Sort code,Cancel Date,Declared accident,Conviction,Title,First name,Surname,Gender,Address Postcode,Email,Phone,Voluntary Excess,Compulsory Excess,Occupation,NCB,Licence Years,Email Domain,Marital status ,Véhicule registration ,Make ,Model,Class of use,Cover type,Purchase Date,Storage,Vehicle value ,Date of Birth 
A87589242,19/04/2025,Q171482,26/11/2024,Commercial,Tradex insurance,437.91,Cancelled,12/12/2023,Credit Card,Aggregator,25689109,80589,null,null,NO,Dr,Robert,Wilson,Other,"22 Liverpool Road, M66 3XX",robert.wilson@gmail.com,7212483922,0,0,Engineer,9,15,Yahoo.com,Living with partner,CA24XZB,Mercedez,C Class,Commercial,Third Party only,09/10/2022,Driveway,42931,28/11/1963
Q87506015,13/04/2024,Q151849,22/06/2025,Commercial,Markerstudy Insurance,236.6,lapse,null,Direct debit,Comparison Site,16633957,64243,null,Yes,YES,Miss,William,Stick,Female,"47 Glasgow Road, M33 3XX",william.stick@yahoo.com,7341454584,100,0,Retired,9,16,Gmail.com,Living with partner,LP11XZB,Mercedes,E Class,Commercial,Comprehensive,07/02/2019,Car Park,2592,06/11/1960
Q36954237,30/09/2025,Q111934,11/10/2025,Commercial,Tradex insurance,328.86,Suspended,09/04/2024,Direct debit,Broker,36244425,84700,null,YES,NO,Miss,David,Walker,Female,"55 Manchester Road, B89 8XX",david.walker@hotmail.com,7337494345,500,0,Accountant,0,18,gmail.com,Widowed,CD14YAC,Volkwagen,Polo,Social & Commuting,Third Party only,21/04/2022,Private Land,24831,10/10/1972
Mf46670704,15/03/2025,Q812853,23/11/2024,Commercial,Aviva,317.08,Suspended,null,Cheque,Direct,86465907,77665,null,null,YES,Dr,William,Wilson,Male,"91 Manchester Road, G58 7XX",william.wilson@gmail.com,7403369161,100,0,Manager,15,7,Gmail.com,Marriage,LP19YAZ,Mercedez,A Class,Social only,Comprehensive,24/12/2021,Car Park,44042,27/09/1999
Q14739078,Invalid Date,Q890567,05/10/2024,Commercial,AXA,866.49,Pending,null,Credit Card,Comparison Site,22413084,16584,null,NO,Yes,Mr,Mia,Hall,Other,"50 Manchester Road, L84 9XX",mia.hall@gmail.com,7949409376,500,0,IT Consultant,8,10,gmail.com,Marriage,GD18XZB,BMW,3 Series,Commercial,Third Party only,19/10/2021,Car Park,40962,29/05/2001
Q18007266,09/11/2025,Q997380,13/03/2024,Private,Direct Line,1791.99,Pending,29/06/2024,Direct debit,Direct,74844824,97116,null,NO,Yes,Mrs,Mark,Williams,Other,"78 Liverpool Road, G94 8XX",mark.williams@gmail.com,7667546346,0,0,Manager,9,7,Gmail.com,Marriage,CA20VZB,Mercedes,E Class,Business use,Comprehensive,27/05/2016,Street,36633,27/09/1971
A28605497,24/04/2025,Q187998,05/05/2025,Commercial,AXA,1521.7,lapse,null,Cheque,Broker,71585010,50912,null,No,Yes,Ms,Charles,Thompson,Male,"12 Edinburgh Road, G17 6XX",charles.thompson@gmail.com,7209197690,0,200,IT Consultant,2,17,Gmail.com,Divorced,CA24XAB,Ford,Mondeo,Social & Commuting,Third Party only,09/04/2018,Driveway,43061,04/11/1989
P15636814,03/08/2024,Q646492,25/02/2025,Commercial,Allianz,1778.4,Live,01/03/2024,Monthly,Aggregator,46527058,21797,null,No,null,Mx,John,Robinson,Female,"25 Edinburgh Road, L39 3XX",john.robinson@yahoo.com,7209072891,0,0,Engineer,0,14,Hotmail.com,Single,MD20VAZ,Ford,Fiesta,Social only,Third Party fire,12/09/2023,Driveway,6233,27/05/1989
P33521936,30/09/2024,Q251534,26/02/2025,Private,Markerstudy Insurance,1511.54,Cancelled,null,Cheque,Aggregator,14846497,75338,null,null,NO,Mr,Joseph,Hall,Male,"25 Birmingham Road, M21 8XX",joseph.hall@yahoo.com,7558211870,100,50,Engineer,15,10,gmail.com,Living with partner,LP19XAZ,Volkswagen,Golf,Social & Commuting,Third Party fire,22/10/2015,Street,19265,01/08/1995
Mf83358651,30/10/2024,Q558654,15/02/2024,Commercial,Allianz,825.47,Suspended,Invalid Date,Credit Card,Broker,85063822,34513,null,YES,Yes,Miss,Robert,Thompson,Female,"33 Liverpool Road, L97 3XX",robert.thompson@hotmail.com,7926183617,500,50,IT Consultant,14,15,gmail.com,Living with partner,CP10VYZ,Volkwagen,Polo,Commercial,Third Party only,26/12/2020,Street,48732,19/01/1976
A44904175,null,Q336002,06/02/2025,Commercial,Zurich,694.16,Suspended,null,Direct debit,Aggregator,37905531,91616,null,Yes,No,Mrs,Robert,Wright,Male,"25 Bristol Road, M46 9XX",robert.wright@hotmail.com,7383608197,250,100,Manager,5,18,Yahoo.com,Marriage,GD16XZZ,Audi,A4,Business use,Comprehensive,20/09/2016,Driveway,7274,01/05/1982
P88722321,03/05/2024,Q911765,10/08/2025,Private,Markerstudy Insurance,735.31 USD,Suspended,null,Direct debit,Comparison Site,29799160,50527,null,No,YES,Dr,Robert,North,Male,"39 Manchester Road, L46 1XX",robert.north@hotmail.com,7382810778,0,200,Student,2,11,Yahoo.com,Single,LA19XZZ,Toyota,Corolla,Business use,Third Party only,14/06/2021,Car Park,43623,25/02/2001
A80393444,21/06/2025,Q678033,11/02/2024,Commercial,Zurich,-1700.27,Cancelled,null,Credit Card,Comparison Site,43288227,73110,25/12/2024,null,YES,Dr,Sarah,Smith,Male,"13 Edinburgh Road, G50 4XX",sarah.smith@yahoo.com,7601402840,100,0,Engineer,14,10,Hotmail.com,Single,GD18VYZ,Mercedes,A Class,Business use,Third Party only,01/11/2021,Garage,28848,10/09/1960
A43309593,03/02/2025,Q953986,18/07/2024,Private,Tradex insurance,1972.17,Cancelled,null,paid in full,Aggregator,58210309,64747,null,NO,null,Ms,Mark,Jones,Male,"58 Leeds Road, L68 2XX",mark.jones@yahoo.com,7224596401,250,100,Unemployed,11,16,gmail.com,Living with partner,GD19YAB,Volkwagen,Polo,Social & Commuting,Third Party fire,20/02/2017,Driveway,5489,Invalid Date
H39161424,21/02/2025,Q884663,17/10/2025,Commercial,AXA,509,Pending,null,Monthly,Comparison Site,70030352,96472,null,No,No,Miss,Mark,White,Other,"55 London Road, B75 5XX",mark.white@yahoo.com,7766092783,0,0,Personla Trainer,1,9,Yahoo.com,Living with partner,LP22YYC,Mercedez,A Class,Commercial,Third Party only,Invalid Date,Driveway,21542,08/08/1996
H73747704,18/05/2024,Q362872,25/09/2024,Commercial,Allianz,1403.1,Suspended,24/09/2023,Cheque,Comparison Site,89707326,40896,02/08/2024,YES,Yes,Mr,Katie,Wright,Other,"54 Manchester Road, B37 4XX",katie.wright@hotmail.com,7220514234,500,200,Accountant,3,9,Gmail.com,Marriage,CD19YYC,Mercedez,C Class,Business use,Third Party fire,19/01/2019,Car Park,31737,28/03/1963
H41234613,18/11/2025,Q352799,11/12/2025,Commercial,AXA,594.8,Cancelled,null,Monthly,Direct,14695767,10808,null,null,null,Mrs,Joseph,hall ,Female,"57 Manchester Road, L34 5XX",joseph.hall@hotmail.com,7956031640,250,100,Manager,12,7,gmail.com,Living with partner,GD13VYC,Mercedez,C Class,Social & Commuting,Third Party fire,23/04/2019,Driveway,24061,22/02/1997
H26516659,30/03/2024,Q891566,24/06/2025,Private,AXA,1859.41,Pending,23/03/2024,Direct debit,Aggregator,91645737,30818,null,Yes,YES,Mrs,Joseph,Green,Other,"39 Birmingham Road, G70 2XX",joseph.green@hotmail.com,7586472506,100,200,Manager,2,19,gmail.com,Widowed,GD15YAB,Volkswagen,Polo,Social & Commuting,Third Party only,07/12/2022,Garage,44728,08/12/2003
Mf87087373,28/11/2024,Q135927,01/06/2025,Private,Tradex insurance,509.89,lapse,null,Credit Card,Broker,22828339,32776,null,Yes,YES,Mx,David,Hall,Male,"14 Leeds Road, M97 8XX",david.hall@gmail.com,7439211789,250,0,Manager,8,7,Hotmail.com,Single,CA23XYZ,Volkswagen,Polo,Commercial,Third Party fire,31/05/2018,Street,27287,09/07/1981
P52628689,22/08/2025,Q697738,09/10/2025,Commercial,Zurich,265.46 USD,Suspended,null,paid in full,Aggregator,35382784,48952,null,null,YES,Mrs,Sarah,Davies,Female,"34 Edinburgh Road, G31 4XX",sarah.davies@hotmail.com,7775466289,100,0,Personla Trainer,4,9,Hotmail.com,Widowed,MP25YYC,Volkswagen,Golf,Business use,Comprehensive,12/12/2018,Garage,38642,04/08/1986
P40541713,06/04/2025,Q682973,25/11/2024,Commercial,Direct Line,451.61,Pending,null,paid in full,Direct,75097396,32617,null,null,NO,Dr,Thomas,Evans,Other,"60 Glasgow Road, B55 5XX",thomas.evans@gmail.com,7379081271,500,100,Nurse,1,20,Gmail.com,Married,LA24VAZ,Mercedez,C Class,Business use,Comprehensive,17/11/2016,Driveway,4890,09/12/1976
P54481727,14/03/2025,Q857018,17/05/2025,Commercial,Direct Line,212.97,Live,null,Credit Card,Aggregator,73539896,54480,null,null,YES,Miss,Mark,Stick,Female,"82 Liverpool Road, B12 1XX",mark.stick@yahoo.com,7546538221,500,200,Engineer,15,15,Hotmail.com,Living with partner,GA15XZC,Mercedez,C Class,Social & Commuting,Comprehensive,18/12/2021,Car Park,20502,28/12/1971
Mf74973178,19/07/2025,Q904990,24/03/2024,Commercial,Direct Line,1676.18,Pending,null,Credit Card,Broker,50916635,86338,null,No,YES,Miss,Charles,Smith,Female,"86 Manchester Road, G3 1XX",charles.smith@hotmail.com,7545739073,0,200,Student,10,5,Hotmail.com,Marriage,LP22VZZ,Mercedes,E Class,Commercial,Third Party fire,29/01/2019,Private Land,21995,30/10/1998
P92884763,15/07/2025,Q175835,10/05/2024,Commercial,Aviva,1060.86,Live,null,Credit Card,Broker,46957233,26180,null,NO,NO,Dr,Sarah,Robinson,Male,"69 Birmingham Road, M5 9XX",sarah.robinson@gmail.com,7527852410,0,50,Doctor,5,3,gmail.com,Married,CD13XZZ,Mercedez,C Class,Commercial,Third Party only,11/10/2019,Driveway,34506,03/05/1965
Mf59098434,24/09/2024,Q447510,06/07/2025,Private,Aviva,107.25,Suspended,null,paid in full,Broker,90058246,26604,null,Yes,null,Mrs,Michael,Evans,Other,"77 Manchester Road, L91 6XX",michael.evans@hotmail.com,7392697546,250,100,Sales Assistant,13,13,Gmail.com,Living with partner,LD23XAZ,Audi,A4,Commercial,Comprehensive,18/04/2015,Garage,16017,17/12/1990
Q92398098,18/10/2024,Q872084,26/01/2025,Private,Tradex insurance,540.42,Suspended,null,Cheque,Comparison Site,97148932,10332,null,NO,No,Dr,Mark,Walker,Male,"32 Edinburgh Road, M16 3XX",mark.walker@yahoo.com,7184172680,100,100,Manager,5,13,Yahoo.com,Married,GA10VYB,Audi,A3,Social & Commuting,Comprehensive,01/10/2016,Car Park,3874,12/02/1996
Q55416214,03/05/2024,Q973349,23/10/2025,Private,Markerstudy Insurance,745.66,Suspended,Invalid Date,paid in full,Comparison Site,49804892,38194,null,null,NO,Mr,Amelia,Jones,Male,"23 Edinburgh Road, G57 5XX",amelia.jones@hotmail.com,7218900594,100,100,Engineer,3,9,Gmail.com,Living with partner,MP17YYZ,Ford,Mondeo,Social & Commuting,Comprehensive,24/05/2020,Garage,12983,19/09/1966
H63022428,13/06/2025,Q474459,25/07/2024,Private,AXA,1504.49,Pending,29/10/2023,paid in full,Comparison Site,84464106,68418,null,Yes,Yes,Ms,Mia,Davies,Female,"28 Glasgow Road, L54 9XX",mia.davies@yahoo.com,7609901239,100,0,Driver,14,20,gmail.com,Married,LA16XAZ,Mercedes,C Class,Commercial,Third Party only,15/12/2021,Garage,33596,18/08/1964
H61305330,27/12/2025,Q207720,15/07/2024,Private,Markerstudy Insurance,1589.75,Cancelled,null,Credit Card,Broker,26216797,89517,null,YES,Yes,Mr,Joseph,Roberts,Other,"10 Bristol Road, M20 3XX",joseph.roberts@gmail.com,7911632923,250,100,Student,8,12,gmail.com,Single,CA25XZZ,Volkwagen,Polo,Business use,Third Party only,30/07/2015,Driveway,7994,03/11/1993
Mf56596222,12/08/2024,Q482670,21/10/2024,Private,Aviva,1147.03,Pending,null,Cheque,Broker,52295128,81120,null,No,Yes,Miss,Amelia,North,Female,"89 Glasgow Road, B10 2XX",amelia.north@hotmail.com,7444400297,250,100,Manager,3,12,Hotmail.com,Widowed,LP13XZC,Volkwagen,Golf,Commercial,Third Party only,20/03/2021,Garage,16911,07/08/1987
Q94315866,01/04/2024,Q928564,07/02/2024,Commercial,AXA,$1636.65,Pending,null,paid in full,Comparison Site,44285217,59606,null,NO,NO,Mr,Emma,johnson ,Male,"46 Birmingham Road, L87 9XX",emma.johnson@gmail.com,7565381088,500,100,Student,6,19,gmail.com,Divorced,MD11XAC,Mercedez,C Class,Business use,Comprehensive,21/07/2015,Street,20187,08/10/1984
H66427643,24/05/2024,Q149652,28/03/2024,Commercial,Markerstudy Insurance,1717.86,Pending,24/02/2023,Monthly,Broker,71579999,93579,null,No,NO,Mrs,John,Brown,Male,"90 Liverpool Road, M25 5XX",john.brown@yahoo.com,7201533619,100,0,IT Consultant,10,15,Gmail.com,Single,LP19VZC,Ford,Mondeo,Social & Commuting,Third Party fire,05/10/2020,Garage,6285,06/01/1974
Mf66803134,24/04/2024,Q663026,22/05/2024,Commercial,AXA,495.86,lapse,null,Credit Card,Aggregator,61654821,39676,null,Yes,NO,Dr,Amelia,Stick,Male,"15 Glasgow Road, L76 6XX",amelia.stick@yahoo.com,7165483900,100,50,Driver,12,3,Gmail.com,Widowed,MP20XYZ,BMW,3 Series,Social only,Third Party only,16/12/2018,Garage,31626,11/04/1963
P48524985,05/07/2024,Q436961,19/12/2024,Commercial,AXA,1262.51,lapse,08/10/2024,Monthly,Comparison Site,71841380,23362,null,YES,Yes,Mr,Katie,evans ,Male,"67 Liverpool Road, M15 7XX",katie.evans@yahoo.com,7460054117,500,50,Sales Assistant,11,20,Gmail.com,Living with partner,LP25XZC,BMW,3 Series,Business use,Comprehensive,20/05/2015,Private Land,13597,09/06/1989
Mf20245883,02/11/2025,Q144532,25/07/2025,Private,Allianz,552.56,Live,null,Cheque,Comparison Site,61598796,12297,16/02/2025,YES,YES,Ms,Olivia,Jones,Male,"78 Glasgow Road, M96 1XX",olivia.jones@yahoo.com,7365671756,100,100,Teacher,10,3,Yahoo.com,Widowed,MA20VYC,Mercedez,A Class,Business use,Third Party fire,05/11/2017,Street,17114,07/12/1965
A29504764,03/04/2024,Q874423,13/03/2024,Commercial,Tradex insurance,1712.6,lapse,null,Monthly,Direct,92608722,63164,null,YES,No,Mrs,Katie,brown ,Other,"56 Birmingham Road, M47 7XX",katie.brown@yahoo.com,7691214887,250,100,Retired,15,8,Hotmail.com,Living with partner,LP15XAB,Volkwagen,Polo,Social only,Comprehensive,13/09/2017,Car Park,12281,09/07/2005
P17730053,26/02/2024,Q871136,27/06/2024,Private,Zurich,326.22,lapse,null,Cheque,Comparison Site,64303584,55355,null,No,YES,Ms,Michael,Wood,Other,"47 Birmingham Road, M92 5XX",michael.wood@hotmail.com,7360356413,100,50,Doctor,3,13,Yahoo.com,Married,GD19VZC,Audi,A3,Social only,Comprehensive,26/06/2019,Car Park,31249,04/09/1960
H17827130,16/11/2024,Q192060,25/01/2025,Private,Aviva,1777.25,Live,null,Direct debit,Broker,71808308,53287,null,Yes,Yes,Mr,Robert,Davies,Other,"90 Birmingham Road, B90 3XX",robert.davies@hotmail.com,7547117121,0,0,Accountant,2,4,Yahoo.com,Divorced,LP11YAB,Volkswagen,Polo,Business use,Third Party fire,18/03/2018,Driveway,46284,06/10/1996
H80978143,25/08/2024,Q831451,09/07/2024,Commercial,Markerstudy Insurance,796.39,Suspended,null,Cheque,Direct,98273863,77785,null,NO,YES,Miss,Mark,Wood,Other,"89 Glasgow Road, M87 5XX",mark.wood@gmail.com,7573371818,500,100,Engineer,1,20,Gmail.com,Widowed,GD23YYZ,BMW,5 Series,Social only,Comprehensive,Invalid Date,Street,49965,14/05/1985
Q20850164,19/11/2025,Q575928,23/06/2024,Private,Direct Line,1329.91,lapse,18/02/2023,Monthly,Comparison Site,73598518,50173,null,Yes,YES,Mrs,Olivia,Roberts,Female,"97 Liverpool Road, G72 1XX",olivia.roberts@gmail.com,7801351322,0,200,Doctor,4,14,Yahoo.com,Single,CP24YZZ,Volkwagen,Polo,Commercial,Third Party fire,11/11/2019,Garage,45363,29/07/1960
Q72508505,27/05/2025,Q822760,12/01/2025,Private,Zurich,1904.7 USD,Pending,Invalid Date,paid in full,Direct,91567660,61375,null,NO,null,Mx,Mark,Williams,Other,"70 Bristol Road, G37 5XX",mark.williams@gmail.com,7957594212,500,0,Manager,2,5,Hotmail.com,Married,CP25XYB,Mercedez,C Class,Commercial,Third Party fire,24/11/2022,Private Land,27952,18/09/1979
P44797342,19/07/2025,Q297993,20/05/2024,Commercial,Allianz,1179.25,Suspended,null,Monthly,Direct,15138639,22941,null,YES,YES,Mx,Sarah,Stick,Other,"17 Liverpool Road, M35 9XX",sarah.stick@gmail.com,7111836508,500,100,Unemployed,4,5,gmail.com,Living with partner,MP18XYB,Toyota,Corolla,Social only,Third Party only,23/10/2022,Private Land,33166,25/09/1972
Mf34262804,18/03/2024,Q597688,12/11/2024,Private,Tradex insurance,391.69,Live,null,Direct debit,Direct,43577774,91751,null,No,null,Ms,Mark,Wright,Other,"86 London Road, M2 2XX",mark.wright@yahoo.com,7207592398,250,100,IT Consultant,15,3,Hotmail.com,Widowed,CP21XYC,Volkwagen,Polo,Commercial,Comprehensive,27/03/2016,Driveway,46466,14/11/1993
A15781998,20/08/2024,Q956093,07/09/2025,Commercial,Tradex insurance,623.88,Cancelled,10/08/2023,Monthly,Comparison Site,81926443,69781,null,null,Yes,Miss,Emily,North,Male,"48 Edinburgh Road, M24 7XX",emily.north@yahoo.com,7108691498,0,0,Student,9,18,Gmail.com,Living with partner,GP17YYC,BMW,5 Series,Commercial,Third Party only,19/01/2017,Car Park,10182,06/02/1973
P24734008,10/11/2025,Q800884,10/07/2025,Commercial,Tradex insurance,1491.04,lapse,null,Direct debit,Aggregator,78750462,19235,null,No,No,Mx,Emily,Thompson,Other,"98 London Road, M19 5XX",emily.thompson@gmail.com,7729126999,500,100,Manager,3,7,Gmail.com,Single,GD16YZC,Audi,A4,Social only,Third Party fire,04/08/2016,Car Park,28374,07/09/1999
H21169755,03/12/2024,Q906390,null,Commercial,Aviva,844.42,lapse,null,Direct debit,Broker,90801475,51313,null,null,YES,Ms,Michael,Green,Female,"69 Bristol Road, B21 2XX",michael.green@gmail.com,7371838787,500,50,Sales Assistant,3,8,Hotmail.com,Living with partner,GP15YYC,BMW,3 Series,Commercial,Third Party fire,13/05/2023,Street,40565,20/07/2000
P15485638,30/01/2024,Q959850,12/02/2024,Private,Direct Line,1218.96,Live,null,paid in full,Aggregator,89775377,62628,null,NO,No,Dr,Robert,Robinson,Female,"57 Edinburgh Road, L51 9XX",robert.robinson@yahoo.com,7989969898,100,50,Doctor,3,20,Gmail.com,Marriage,LA20YAC,Mercedez,C Class,Social & Commuting,Third Party fire,09/11/2023,Driveway,48664,15/01/1973
Q82096553,19/08/2024,Q587283,29/06/2024,Private,Markerstudy Insurance,678.48,Suspended,null,Cheque,Aggregator,23688202,98401,null,YES,YES,Dr,David,Hall,Female,"13 London Road, B65 9XX",david.hall@yahoo.com,7335389002,250,100,Sales Assistant,15,10,Gmail.com,Married,CD20VZC,Toyota,RAV4,Social & Commuting,Third Party fire,17/04/2019,Garage,37374,11/07/1983
Mf56180138,07/07/2024,Q351193,06/12/2025,Commercial,Aviva,1579.68,Pending,null,Credit Card,Direct,33113286,51726,06/11/2024,No,null,Mrs,Emily,Evans,Female,"24 Birmingham Road, M19 8XX",emily.evans@yahoo.com,7143838742,250,0,IT Consultant,3,9,Yahoo.com,Widowed,MD12YYZ,Volkwagen,Golf,Business use,Third Party fire,12/03/2016,Car Park,25263,05/07/1966
P44820746,04/07/2025,Q514321,22/06/2024,Commercial,Aviva,729.05,Live,null,Cheque,Comparison Site,94068920,36751,26/04/2024,YES,YES,Ms,John,Brown,Other,"40 Manchester Road, B4 2XX",john.brown@yahoo.com,7225476934,0,0,Teacher,14,10,Yahoo.com,Living with partner,GP20XYC,Mercedez,A Class,Commercial,Third Party only,14/11/2022,Private Land,45042,12/11/1977
Mf57628426,23/02/2024,Q294017,30/04/2025,Private,Direct Line,221.55,Pending,null,Cheque,Broker,84530975,61026,null,Yes,NO,Mx,David,Davies,Female,"36 Edinburgh Road, B88 4XX",david.davies@yahoo.com,7738965806,500,50,Personla Trainer,10,12,Gmail.com,Widowed,LP14XAC,Mercedes,E Class,Social only,Third Party fire,20/07/2016,Garage,32645,23/05/1992
H40025645,19/08/2025,Q216970,Invalid Date,Commercial,Zurich,1564.15,Cancelled,null,Cheque,Broker,59485978,80701,null,NO,null,Dr,William,wright ,Male,"79 Manchester Road, M36 1XX",william.wright@yahoo.com,7247273461,500,200,Retired,3,1,Gmail.com,Divorced,LP17VYC,Ford,Fiesta,Social only,Third Party only,Invalid Date,Private Land,27342,31/12/1980
P68312891,07/05/2024,Q331672,27/08/2024,Commercial,Markerstudy Insurance,1056.38,Live,null,Cheque,Aggregator,29210017,20332,null,No,NO,Ms,Harper,Taylor,Female,"86 Edinburgh Road, M80 4XX",harper.taylor@yahoo.com,7377713675,100,50,Unemployed,15,1,Hotmail.com,Marriage,MD18YAZ,Volkwagen,Golf,Commercial,Third Party fire,02/10/2023,Car Park,11571,19/12/2002
A80223996,29/04/2024,Q790857,30/07/2025,Private,Markerstudy Insurance,-1139.08,lapse,null,Monthly,Broker,16756616,12463,null,NO,Yes,Mx,James,Roberts,Male,"13 Bristol Road, G3 3XX",james.roberts@yahoo.com,7978538312,100,0,Sales Assistant,14,1,Hotmail.com,Married,MD24VZB,Volkwagen,Golf,Social only,Comprehensive,02/07/2019,Private Land,49516,21/03/1980
P97099629,12/06/2025,Q883182,15/05/2025,Private,Allianz,1141.91,Live,null,paid in full,Aggregator,87714949,44227,null,null,YES,Mr,Sophia,Hall,Male,"28 Leeds Road, L61 8XX",sophia.hall@yahoo.com,7745893593,500,200,Accountant,14,19,Yahoo.com,Living with partner,LA22VYC,Volkswagen,Golf,Business use,Third Party fire,02/11/2019,Garage,24545,02/11/1992
H55413537,07/06/2024,Q741390,02/11/2024,Commercial,Markerstudy Insurance,1563.78,Live,null,paid in full,Broker,81561029,92265,null,YES,null,Miss,Mia,Johnson,Male,"53 Birmingham Road, M37 1XX",mia.johnson@hotmail.com,7539833132,100,50,Nurse,10,14,Yahoo.com,Widowed,CP23XZC,BMW,X5,Social only,Third Party only,20/08/2019,Street,47383,02/03/2000
P83265560,12/03/2024,Q315772,02/06/2025,Commercial,Allianz,673.62,Cancelled,null,paid in full,Comparison Site,50389891,43554,null,NO,NO,Mrs,Amelia,Robinson,Other,"64 Edinburgh Road, L65 5XX",amelia.robinson@hotmail.com,7813508579,100,50,Engineer,13,17,Hotmail.com,Single,CD18VZB,Volkswagen,Golf,Commercial,Third Party only,04/09/2023,Driveway,46310,03/04/1992
